time,data1
0.0,10723
15.0,3418
30.0,4051
45.0,6022
60.0,8959
75.0,1217
90.0,1639
105.0,450
120.0,5390
135.0,3935
150.0,-1289
165.0,-814
180.0,1054
195.0,-2359
210.0,498
225.0,-629
240.0,1532
255.0,-1691
270.0,-2670
285.0,994
300.0,1423
315.0,-2843
330.0,-2219
345.0,-571
360.0,4031
375.0,-2782
390.0,-798
405.0,-143
420.0,3091
435.0,80
450.0,-2668
465.0,-1077
480.0,381
495.0,-174
510.0,921
525.0,-2974
540.0,2632
555.0,-1152
570.0,-2521
585.0,-858
600.0,3265
615.0,-1979
630.0,-1043
645.0,-2885
660.0,4108
675.0,-378
690.0,-1471
705.0,-758
720.0,3303
735.0,291
750.0,272
765.0,-1318
780.0,2112
795.0,-187
810.0,578
825.0,-774
840.0,1993
855.0,-2419
870.0,-265
885.0,577
900.0,431
915.0,-115
930.0,-635
945.0,-37
960.0,2819
975.0,-739
990.0,-2542
1005.0,-2890
1020.0,1539
1035.0,597
1050.0,-395
1065.0,-2898
1080.0,2550
1095.0,-931
1110.0,-1520
1125.0,-2420
1140.0,2645
1155.0,-209
1170.0,-2898
1185.0,-705
1200.0,496
1215.0,-1202
1230.0,-660
1245.0,-1609
1260.0,4553
1275.0,-529
1290.0,-2119
1305.0,-1412
1320.0,2291
1335.0,-1591
1350.0,-2787
1365.0,2873
1380.0,-358
1395.0,72
1410.0,-139
1425.0,-250
1440.0,1293
1455.0,-337
1470.0,-2031
1485.0,1298
1500.0,3138
1515.0,-1276
1530.0,-750
1545.0,-390
1560.0,2059
1575.0,-1015
1590.0,-738
1605.0,-2488
1620.0,2770
1635.0,546
1650.0,-2298
1665.0,-1513
1680.0,2217
1695.0,-1799
1710.0,-506
1725.0,-1098
1740.0,3414
1755.0,-1052
1770.0,-1578
1785.0,-1277
1800.0,1427
1815.0,-75
1830.0,-144
1845.0,-946
1860.0,3988
1875.0,-2863
1890.0,-2704
1905.0,-48
1920.0,1161
1935.0,191
1950.0,-466
1965.0,-1922
1980.0,4714
1995.0,-2576
2010.0,-927
2025.0,-668
2040.0,478
2055.0,-1738
2070.0,-935
2085.0,-74
2100.0,2558
2115.0,-882
2130.0,-1905
2145.0,-2346
2160.0,1615
2175.0,-466
2190.0,-1030
2205.0,-2562
2220.0,1584
2235.0,-54
2250.0,-1258
2265.0,51
2280.0,992
2295.0,-2754
2310.0,1112
2325.0,94
2340.0,1105
2355.0,-1780
